sku,product_name,category,sub_category,cost_price,selling_price,profit,profit_margin %
SKU-0000,Organic Building 250g,Bundles,Starter Kits,47.32,100.02,52.699999999999996,52.69
SKU-0001,Organic Whole Capsules,Wellness,Supplements,25.44,39.8,14.359999999999996,36.08
SKU-0002,Organic Million Powder,Wellness,Protein Bars,6.47,11.86,5.39,45.45
SKU-0003,Organic Understand Powder,Wellness,Protein Bars,34.57,54.82,20.25,36.94
SKU-0004,Organic Such Powder,Wellness,Vitamins,49.82,80.01,30.190000000000005,37.73
SKU-0005,Organic Grow 500ml,Beverages,Herbal Teas,48.81,75.41,26.599999999999994,35.27
SKU-0006,Organic Perform 250g,Household,Laundry,14.15,33.4,19.25,57.63
SKU-0007,Organic Range Powder,Pantry Staples,Protein Bars,17.2,26.7,9.5,35.58
SKU-0008,Organic Key Powder,Wellness,Vitamins,30.23,58.24,28.01,48.09
SKU-0009,Organic There Capsules,Pantry Staples,Protein Bars,22.29,44.46,22.17,49.87
SKU-0010,Organic Rate 1kg,Pantry Staples,Pasta,49.64,92.11,42.47,46.11
SKU-0011,Organic Economic 1kg,Household,Eco-Friendly Paper Goods,24.3,38.26,13.959999999999997,36.49
SKU-0012,Organic Degree Powder,Wellness,Superfoods,47.84,100.32,52.47999999999999,52.31
SKU-0013,Organic Bring 500ml,Household,Laundry,47.29,94.33,47.04,49.87
SKU-0014,Organic Computer 1kg,Beverages,Organic Juices,18.8,42.93,24.13,56.21
SKU-0015,Organic Parent 500ml,Pantry Staples,Grains & Rice,16.16,32.24,16.080000000000002,49.88
SKU-0016,Organic View Powder,Wellness,Protein Bars,8.67,16.7,8.03,48.08
SKU-0017,Organic Federal 1kg,Pantry Staples,Oils & Vinegars,45.27,68.25,22.979999999999997,33.67
SKU-0018,Organic Least Capsules,Wellness,Protein Bars,44.97,78.49,33.519999999999996,42.71
SKU-0019,Organic Challenge 1kg,Household,Cleaning Supplies,23.59,50.81,27.220000000000002,53.57
SKU-0020,Organic Nice Powder,Wellness,Supplements,48.56,98.38,49.81999999999999,50.64
SKU-0021,Organic According Powder,Pantry Staples,Protein Bars,30.3,65.58,35.28,53.8
SKU-0022,Organic Check 250g,Bundles,Starter Kits,41.32,74.52,33.199999999999996,44.55
SKU-0023,Organic Surface 500ml,Household,Laundry,40.55,74.91,34.36,45.87
SKU-0024,Organic Sometimes Powder,Wellness,Protein Bars,12.64,25.81,13.169999999999998,51.03
SKU-0025,Organic Actually 500ml,Household,Cleaning Supplies,6.5,9.9,3.4000000000000004,34.34
SKU-0026,Organic Interesting 250g,Beverages,Plant-Based Milks,23.21,39.95,16.740000000000002,41.9
SKU-0027,Organic Bar 1kg,Household,Laundry,41.56,76.39,34.83,45.59
SKU-0028,Organic Respond 500ml,Pantry Staples,Grains & Rice,22.74,35.87,13.129999999999999,36.6
SKU-0029,Organic Tell 250g,Household,Eco-Friendly Paper Goods,15.46,37.21,21.75,58.45
SKU-0030,Organic Image 250g,Bundles,Starter Kits,43.96,70.29,26.330000000000005,37.46
SKU-0031,Organic Analysis 250g,Household,Laundry,36.79,89.01,52.220000000000006,58.67
SKU-0032,Organic Friend 250g,Bundles,Starter Kits,34.84,53.54,18.699999999999996,34.93
SKU-0033,Organic National Capsules,Wellness,Supplements,7.38,14.72,7.340000000000001,49.86
SKU-0034,Organic Rate 500ml,Bundles,Starter Kits,46.38,84.54,38.160000000000004,45.14
SKU-0035,Organic Why 250g,Household,Cleaning Supplies,35.68,81.26,45.580000000000005,56.09
SKU-0036,Organic Language 1kg,Beverages,Plant-Based Milks,7.66,18.74,11.079999999999998,59.12
SKU-0037,Organic Film 1kg,Pantry Staples,Pasta,22.25,44.38,22.130000000000003,49.86
SKU-0038,Organic Away 1kg,Household,Laundry,30.34,62.32,31.98,51.32
SKU-0039,Organic Teacher 250g,Pantry Staples,Pasta,12.15,23.57,11.42,48.45
SKU-0040,Organic No 500ml,Pantry Staples,Grains & Rice,10.67,20.02,9.35,46.7
SKU-0041,Organic Hotel Capsules,Wellness,Vitamins,35.79,53.77,17.980000000000004,33.44
SKU-0042,Organic Perhaps 1kg,Pantry Staples,Oils & Vinegars,22.31,35.05,12.739999999999998,36.35
SKU-0043,Organic Court Capsules,Wellness,Supplements,26.15,49.92,23.770000000000003,47.62
SKU-0044,Organic Million 500ml,Beverages,Organic Juices,34.31,56.38,22.07,39.15
SKU-0045,Organic Conference Capsules,Wellness,Superfoods,21.64,48.27,26.630000000000003,55.17
SKU-0046,Organic Store 250g,Beverages,Organic Juices,46.16,97.83,51.67,52.82
SKU-0047,Organic Interesting 500ml,Bundles,Starter Kits,33.15,71.25,38.1,53.47
SKU-0048,Organic Campaign Capsules,Wellness,Supplements,45.77,109.41,63.63999999999999,58.17
SKU-0049,Organic Economy 500ml,Pantry Staples,Grains & Rice,22.01,43.57,21.56,49.48
SKU-0050,Organic More 500ml,Household,Cleaning Supplies,22.64,50.83,28.189999999999998,55.46
SKU-0051,Organic We 500ml,Household,Eco-Friendly Paper Goods,27.39,54.64,27.25,49.87
SKU-0052,Organic Skill Capsules,Wellness,Vitamins,28.51,48.55,20.039999999999996,41.28
SKU-0053,Organic Sure 500ml,Bundles,Starter Kits,9.16,14.56,5.4,37.09
SKU-0054,Organic Stuff 250g,Pantry Staples,Nut Butters,13.36,26.65,13.29,49.87
SKU-0055,Organic Father 1kg,Pantry Staples,Oils & Vinegars,44.27,90.1,45.82999999999999,50.87
SKU-0056,Organic Eight 1kg,Beverages,Plant-Based Milks,43.23,76.71,33.48,43.64
SKU-0057,Organic Represent Capsules,Wellness,Protein Bars,19.84,39.32,19.48,49.54
SKU-0058,Organic Someone Powder,Pantry Staples,Protein Bars,25.3,41.34,16.040000000000003,38.8
SKU-0059,Organic Other 250g,Pantry Staples,Grains & Rice,18.97,39.45,20.480000000000004,51.91
SKU-0060,Organic Half Capsules,Pantry Staples,Protein Bars,18.97,37.84,18.870000000000005,49.87
SKU-0061,Organic Bank 500ml,Pantry Staples,Nut Butters,20.06,47.78,27.720000000000002,58.02
SKU-0062,Organic Yourself 1kg,Pantry Staples,Grains & Rice,23.4,43.89,20.490000000000002,46.68
SKU-0063,Organic Often 500ml,Pantry Staples,Pasta,7.36,12.23,4.87,39.82
